TimeStamp,Scene,Event,Interaction
1720687898357,SampleScene,none,none,
1720687898371,SampleScene,none,none,
1720687898385,SampleScene,none,none,
1720687898399,SampleScene,none,none,
1720687898413,SampleScene,none,none,
1720687898428,SampleScene,none,none,
1720687898441,SampleScene,none,none,
1720687898456,SampleScene,none,none,
1720687898470,SampleScene,none,none,
1720687898484,SampleScene,none,none,
1720687898498,SampleScene,none,none,
1720687898511,SampleScene,none,none,
1720687898525,SampleScene,none,none,
1720687898539,SampleScene,none,none,
1720687898553,SampleScene,none,none,
1720687898566,SampleScene,none,none,
1720687898582,SampleScene,none,none,
1720687898594,SampleScene,none,none,
1720687898609,SampleScene,none,none,
1720687898623,SampleScene,none,none,
1720687898636,SampleScene,none,none,
1720687898650,SampleScene,none,none,
1720687898664,SampleScene,none,none,
1720687898678,SampleScene,none,none,
1720687898693,SampleScene,none,none,
1720687898706,SampleScene,none,none,
1720687898720,SampleScene,none,none,
1720687898734,SampleScene,none,none,
1720687898748,SampleScene,none,none,
1720687898762,SampleScene,none,none,
1720687898775,SampleScene,none,none,
1720687898790,SampleScene,none,none,
1720687898804,SampleScene,none,none,
1720687898818,SampleScene,none,none,
1720687898832,SampleScene,none,none,
1720687898845,SampleScene,none,none,
1720687898859,SampleScene,none,none,
1720687898873,SampleScene,none,none,
1720687898886,SampleScene,none,none,
1720687898901,SampleScene,none,none,
1720687898915,SampleScene,none,none,
1720687898929,SampleScene,none,none,
1720687898942,SampleScene,none,none,
1720687898956,SampleScene,none,none,
1720687898970,SampleScene,none,none,
1720687898984,SampleScene,none,none,
1720687898998,SampleScene,none,none,
1720687899012,SampleScene,none,none,
1720687899025,SampleScene,none,none,
1720687899040,SampleScene,none,none,
1720687899054,SampleScene,none,none,
1720687899067,SampleScene,none,none,
1720687899081,SampleScene,none,none,
1720687899096,SampleScene,none,none,
1720687899109,SampleScene,none,none,
1720687899123,SampleScene,none,none,
1720687899139,SampleScene,none,none,
1720687899151,SampleScene,none,none,
1720687899165,SampleScene,none,none,
1720687899178,SampleScene,none,none,
1720687899193,SampleScene,none,none,
1720687899207,SampleScene,none,none,
1720687899220,SampleScene,none,none,
1720687899234,SampleScene,none,none,
1720687899248,SampleScene,none,none,
1720687899262,SampleScene,none,none,
1720687899276,SampleScene,none,none,
1720687899290,SampleScene,none,none,
1720687899304,SampleScene,none,none,
1720687899317,SampleScene,none,none,
1720687899332,SampleScene,none,none,
1720687899346,SampleScene,none,none,
1720687899359,SampleScene,none,none,
1720687899373,SampleScene,none,none,
1720687899387,SampleScene,none,none,
1720687899402,SampleScene,none,none,
1720687899415,SampleScene,none,none,
1720687899429,SampleScene,none,none,
1720687899442,SampleScene,none,none,
1720687899457,SampleScene,none,none,
1720687899470,SampleScene,none,none,
1720687899484,SampleScene,none,none,
1720687899498,SampleScene,none,none,
1720687899513,SampleScene,none,none,
1720687899526,SampleScene,none,none,
1720687899539,SampleScene,none,none,
1720687899554,SampleScene,none,none,
1720687899568,SampleScene,none,none,
1720687899582,SampleScene,none,none,
1720687899596,SampleScene,none,none,
1720687899610,SampleScene,none,none,
1720687899623,SampleScene,none,none,
1720687899637,SampleScene,none,none,
1720687899652,SampleScene,none,none,
1720687899666,SampleScene,none,none,
1720687899679,SampleScene,none,none,
1720687899693,SampleScene,none,none,
1720687899708,SampleScene,none,none,
1720687899721,SampleScene,none,none,
1720687899735,SampleScene,none,none,
1720687899748,SampleScene,none,none,
1720687899763,SampleScene,none,none,
1720687899776,SampleScene,none,none,
1720687899790,SampleScene,none,none,
1720687899804,SampleScene,none,none,
1720687899818,SampleScene,none,none,
1720687899832,SampleScene,none,none,
1720687899847,SampleScene,none,none,
1720687899859,SampleScene,none,none,
1720687899873,SampleScene,none,none,
1720687899887,SampleScene,none,none,
1720687899901,SampleScene,none,none,
1720687899916,SampleScene,none,none,
1720687899930,SampleScene,none,none,
1720687899943,SampleScene,none,none,
1720687899956,SampleScene,none,none,
1720687899971,SampleScene,none,none,
1720687899985,SampleScene,none,none,
1720687899999,SampleScene,none,none,
1720687900012,SampleScene,none,none,
1720687900026,SampleScene,none,none,
1720687900040,SampleScene,none,none,
1720687900054,SampleScene,none,none,
1720687900068,SampleScene,none,none,
1720687900082,SampleScene,none,none,
1720687900096,SampleScene,none,none,
1720687900110,SampleScene,none,none,
1720687900124,SampleScene,none,none,
1720687900137,SampleScene,none,none,
1720687900151,SampleScene,none,none,
1720687900165,SampleScene,none,none,
1720687900179,SampleScene,none,none,
1720687900193,SampleScene,none,none,
1720687900207,SampleScene,none,none,
1720687900221,SampleScene,none,none,
1720687900234,SampleScene,none,none,
1720687900249,SampleScene,none,none,
1720687900262,SampleScene,none,none,
1720687900277,SampleScene,none,none,
1720687900291,SampleScene,none,none,
1720687900305,SampleScene,none,none,
1720687900319,SampleScene,none,none,
1720687900333,SampleScene,none,none,
1720687900346,SampleScene,none,none,
1720687900359,SampleScene,none,none,
1720687900374,SampleScene,none,none,
1720687900388,SampleScene,none,none,
1720687900402,SampleScene,none,none,
1720687900416,SampleScene,none,none,
1720687900430,SampleScene,none,none,
1720687900444,SampleScene,none,none,
1720687900457,SampleScene,none,none,
1720687900472,SampleScene,none,none,
1720687900485,SampleScene,none,none,
1720687900500,SampleScene,none,none,
1720687900513,SampleScene,none,none,
1720687900527,SampleScene,none,none,
1720687900540,SampleScene,none,none,
1720687900555,SampleScene,none,none,
1720687900568,SampleScene,none,none,
1720687900582,SampleScene,none,none,
1720687900596,SampleScene,none,none,
1720687900611,SampleScene,none,none,
1720687900624,SampleScene,none,none,
1720687900637,SampleScene,none,none,
1720687900651,SampleScene,none,none,
1720687900666,SampleScene,none,none,
1720687900679,SampleScene,none,none,
1720687900693,SampleScene,none,none,
1720687900707,SampleScene,none,none,
1720687900721,SampleScene,none,none,
1720687900736,SampleScene,none,none,
1720687900750,SampleScene,none,none,
1720687900763,SampleScene,none,none,
1720687900777,SampleScene,none,none,
1720687900791,SampleScene,none,none,
1720687900805,SampleScene,none,none,
1720687900818,SampleScene,none,none,
1720687900832,SampleScene,none,none,
1720687900846,SampleScene,none,none,
1720687900860,SampleScene,none,none,
1720687900873,SampleScene,none,none,
1720687900887,SampleScene,none,none,
1720687900901,SampleScene,none,none,
1720687900915,SampleScene,none,none,
1720687900930,SampleScene,none,none,
1720687900943,SampleScene,none,none,
1720687900956,SampleScene,none,none,
1720687900971,SampleScene,none,none,
1720687900985,SampleScene,none,none,
1720687900998,SampleScene,none,none,
1720687901012,SampleScene,none,none,
1720687901026,SampleScene,none,none,
1720687901040,SampleScene,none,none,
1720687901054,SampleScene,none,none,
1720687901068,SampleScene,none,none,
1720687901083,SampleScene,none,none,
1720687901097,SampleScene,none,none,
1720687901110,SampleScene,none,none,
1720687901124,SampleScene,none,none,
1720687901137,SampleScene,none,none,
1720687901151,SampleScene,none,none,
1720687901166,SampleScene,none,none,
1720687901179,SampleScene,none,none,
1720687901193,SampleScene,none,none,
1720687901207,SampleScene,none,none,
1720687901221,SampleScene,none,none,
1720687901234,SampleScene,none,none,
1720687901249,SampleScene,none,none,
1720687901262,SampleScene,none,none,
1720687901276,SampleScene,none,none,
1720687901290,SampleScene,none,none,
1720687901304,SampleScene,none,none,
1720687901318,SampleScene,none,none,
1720687901333,SampleScene,none,none,
1720687901346,SampleScene,none,none,
1720687901360,SampleScene,none,none,
1720687901374,SampleScene,none,none,
1720687901388,SampleScene,none,none,
1720687901403,SampleScene,none,none,
