TimeStamp,Scene,Event,Interaction
1721138009612,SampleScene,none,none,
1721138010682,SampleScene,none,none,
1721138010720,SampleScene,none,none,
1721138010740,SampleScene,none,none,
1721138010747,SampleScene,none,none,
1721138010751,SampleScene,none,none,
1721138010757,SampleScene,none,none,
1721138010761,SampleScene,none,none,
1721138010767,SampleScene,none,none,
1721138010774,SampleScene,none,none,
1721138010778,SampleScene,none,none,
1721138010783,SampleScene,none,none,
1721138010788,SampleScene,none,none,
1721138010793,SampleScene,none,none,
1721138010797,SampleScene,none,none,
1721138010802,SampleScene,none,none,
1721138010805,SampleScene,none,none,
1721138010810,SampleScene,none,none,
1721138010815,SampleScene,none,none,
1721138010820,SampleScene,none,none,
1721138010824,SampleScene,none,none,
1721138010830,SampleScene,none,none,
1721138010834,SampleScene,none,none,
1721138010838,SampleScene,none,none,
1721138010843,SampleScene,none,none,
1721138010847,SampleScene,none,none,
1721138010851,SampleScene,none,none,
1721138010856,SampleScene,none,none,
1721138010860,SampleScene,none,none,
1721138010863,SampleScene,none,none,
1721138010868,SampleScene,none,none,
1721138010872,SampleScene,none,none,
1721138010876,SampleScene,none,none,
1721138010881,SampleScene,none,none,
1721138010884,SampleScene,none,none,
1721138010889,SampleScene,none,none,
1721138010892,SampleScene,none,none,
1721138010897,SampleScene,none,none,
1721138010901,SampleScene,none,none,
1721138010904,SampleScene,none,none,
1721138010907,SampleScene,none,none,
1721138010912,SampleScene,none,none,
1721138010916,SampleScene,none,none,
1721138010920,SampleScene,none,none,
1721138010924,SampleScene,none,none,
1721138010928,SampleScene,none,none,
1721138010932,SampleScene,none,none,
1721138010936,SampleScene,none,none,
1721138010940,SampleScene,none,none,
1721138010943,SampleScene,none,none,
1721138010948,SampleScene,none,none,
1721138010952,SampleScene,none,none,
1721138010956,SampleScene,none,none,
1721138010959,SampleScene,none,none,
1721138010963,SampleScene,none,none,
1721138010967,SampleScene,none,none,
1721138010972,SampleScene,none,none,
1721138010976,SampleScene,none,none,
1721138010979,SampleScene,none,none,
1721138010982,SampleScene,none,none,
1721138010986,SampleScene,none,none,
1721138010990,SampleScene,none,none,
1721138010995,SampleScene,none,none,
1721138010998,SampleScene,none,none,
1721138011002,SampleScene,none,none,
1721138011006,SampleScene,none,none,
1721138011010,SampleScene,none,none,
1721138011013,SampleScene,none,none,
1721138011018,SampleScene,none,none,
1721138011022,SampleScene,none,none,
1721138011025,SampleScene,none,none,
1721138011029,SampleScene,none,none,
1721138011034,SampleScene,none,none,
1721138011038,SampleScene,none,none,
1721138011042,SampleScene,none,none,
1721138011045,SampleScene,none,none,
1721138011049,SampleScene,none,none,
1721138011052,SampleScene,none,none,
1721138011057,SampleScene,none,none,
1721138011061,SampleScene,none,none,
1721138011065,SampleScene,none,none,
1721138011069,SampleScene,none,none,
1721138011073,SampleScene,none,none,
1721138011077,SampleScene,none,none,
1721138011081,SampleScene,none,none,
1721138011084,SampleScene,none,none,
1721138011088,SampleScene,none,none,
1721138011092,SampleScene,none,none,
1721138011096,SampleScene,none,none,
1721138011100,SampleScene,none,none,
1721138011104,SampleScene,none,none,
1721138011108,SampleScene,none,none,
1721138011112,SampleScene,none,none,
1721138011116,SampleScene,none,none,
1721138011119,SampleScene,none,none,
1721138011122,SampleScene,none,none,
1721138011127,SampleScene,none,none,
1721138011130,SampleScene,none,none,
1721138011135,SampleScene,none,none,
1721138011139,SampleScene,none,none,
1721138011143,SampleScene,none,none,
1721138011146,SampleScene,none,none,
1721138011153,SampleScene,none,none,
1721138011157,SampleScene,none,none,
1721138011161,SampleScene,none,none,
1721138011166,SampleScene,none,none,
1721138011169,SampleScene,none,none,
1721138011174,SampleScene,none,none,
1721138011178,SampleScene,none,none,
1721138011182,SampleScene,none,none,
1721138011186,SampleScene,none,none,
1721138011190,SampleScene,none,none,
1721138011194,SampleScene,none,none,
1721138011198,SampleScene,none,none,
1721138011203,SampleScene,none,none,
1721138011206,SampleScene,none,none,
1721138011210,SampleScene,none,none,
1721138011214,SampleScene,none,none,
1721138011218,SampleScene,none,none,
1721138011223,SampleScene,none,none,
1721138011226,SampleScene,none,none,
1721138011231,SampleScene,none,none,
1721138011234,SampleScene,none,none,
1721138011238,SampleScene,none,none,
1721138011242,SampleScene,none,none,
1721138011245,SampleScene,none,none,
1721138011250,SampleScene,none,none,
1721138011254,SampleScene,none,none,
1721138011258,SampleScene,none,none,
1721138011262,SampleScene,none,none,
1721138011266,SampleScene,none,none,
1721138011270,SampleScene,none,none,
1721138011274,SampleScene,none,none,
1721138011278,SampleScene,none,none,
1721138011283,SampleScene,none,none,
1721138011286,SampleScene,none,none,
1721138011289,SampleScene,none,none,
1721138011294,SampleScene,none,none,
1721138011298,SampleScene,none,none,
1721138011302,SampleScene,none,none,
1721138011306,SampleScene,none,none,
1721138011310,SampleScene,none,none,
1721138011313,SampleScene,none,none,
1721138011318,SampleScene,none,none,
1721138011321,SampleScene,none,none,
1721138011326,SampleScene,none,none,
1721138011330,SampleScene,none,none,
1721138011333,SampleScene,none,none,
1721138011338,SampleScene,none,none,
1721138011341,SampleScene,none,none,
1721138011345,SampleScene,none,none,
1721138011349,SampleScene,none,none,
1721138011353,SampleScene,none,none,
1721138011356,SampleScene,none,none,
1721138011361,SampleScene,none,none,
1721138011364,SampleScene,none,none,
1721138011369,SampleScene,none,none,
1721138011372,SampleScene,none,none,
1721138011376,SampleScene,none,none,
1721138011381,SampleScene,none,none,
1721138011385,SampleScene,none,none,
1721138011389,SampleScene,none,none,
1721138011393,SampleScene,none,none,
1721138011397,SampleScene,none,none,
1721138011400,SampleScene,none,none,
1721138011404,SampleScene,none,none,
1721138011408,SampleScene,none,none,
1721138011412,SampleScene,none,none,
1721138011416,SampleScene,none,none,
1721138011420,SampleScene,none,none,
1721138011424,SampleScene,none,none,
1721138011428,SampleScene,none,none,
1721138011431,SampleScene,none,none,
1721138011436,SampleScene,none,none,
1721138011440,SampleScene,none,none,
1721138011444,SampleScene,none,none,
1721138011448,SampleScene,none,none,
1721138011451,SampleScene,none,none,
1721138011455,SampleScene,none,none,
1721138011460,SampleScene,none,none,
1721138011463,SampleScene,none,none,
1721138011468,SampleScene,none,none,
1721138011472,SampleScene,none,none,
1721138011475,SampleScene,none,none,
1721138011479,SampleScene,none,none,
1721138011484,SampleScene,none,none,
1721138011487,SampleScene,none,none,
1721138011492,SampleScene,none,none,
1721138011495,SampleScene,none,none,
1721138011499,SampleScene,none,none,
1721138011503,SampleScene,none,none,
1721138011506,SampleScene,none,none,
1721138011509,SampleScene,none,none,
1721138011514,SampleScene,none,none,
1721138011519,SampleScene,none,none,
1721138011522,SampleScene,none,none,
1721138011526,SampleScene,none,none,
1721138011530,SampleScene,none,none,
1721138011533,SampleScene,none,none,
1721138011538,SampleScene,none,none,
1721138011541,SampleScene,none,none,
1721138011546,SampleScene,none,none,
1721138011550,SampleScene,none,none,
1721138011554,SampleScene,none,none,
1721138011558,SampleScene,none,none,
1721138011561,SampleScene,none,none,
1721138011564,SampleScene,none,none,
1721138011569,SampleScene,none,none,
1721138011573,SampleScene,none,none,
1721138011577,SampleScene,none,none,
1721138011580,SampleScene,none,none,
1721138011585,SampleScene,none,none,
1721138011589,SampleScene,none,none,
1721138011592,SampleScene,none,none,
