TimeStamp,Event,Interaction
1712924060028,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060046,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060070,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060082,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060096,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060110,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060122,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060137,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060150,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060164,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060178,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060192,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060205,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060219,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060233,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060247,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060261,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060275,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060289,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060302,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060317,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060330,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060344,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060358,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060372,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060386,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060400,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060414,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060427,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060441,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060456,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060469,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060483,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060497,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060512,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060525,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060539,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060553,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060567,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060581,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060594,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060609,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060623,none,none,
1712924060637,none,none,
1712924060650,none,none,
1712924060666,none,none,
1712924060678,none,none,
1712924060692,none,none,
1712924060706,none,none,
1712924060720,none,none,
1712924060734,none,none,
1712924060748,none,none,
1712924060762,none,none,
1712924060777,none,none,
1712924060790,none,none,
1712924060804,none,none,
1712924060818,none,none,
1712924060832,none,none,
1712924060845,none,none,
1712924060860,none,none,
1712924060874,none,none,
1712924060887,none,none,
1712924060902,none,none,
1712924060915,none,none,
1712924060930,none,none,
1712924060944,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060957,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060972,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060985,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924060999,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061014,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061026,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061040,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061056,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061069,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061083,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061096,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061111,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061124,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061138,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061152,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061166,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061179,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061194,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061208,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061222,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061236,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061250,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061263,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061278,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061292,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061305,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061319,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061334,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061347,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061361,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061375,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061389,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061404,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061417,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061431,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061444,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061459,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061473,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061487,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061501,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061515,none,none,
1712924061528,none,none,
1712924061543,none,none,
1712924061556,none,none,
1712924061571,none,none,
1712924061585,none,none,
1712924061598,none,none,
1712924061613,none,none,
1712924061627,none,none,
1712924061640,none,none,
1712924061653,none,none,
1712924061668,none,none,
1712924061681,none,none,
1712924061695,none,none,
1712924061709,none,none,
1712924061724,none,none,
1712924061738,none,none,
1712924061751,none,none,
1712924061766,none,none,
1712924061780,none,none,
1712924061793,none,none,
1712924061808,none,none,
1712924061821,none,none,
1712924061834,none,none,
1712924061850,none,none,
1712924061862,none,none,
1712924061877,none,none,
1712924061891,none,none,
1712924061905,none,none,
1712924061919,none,none,
1712924061933,none,none,
1712924061947,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061960,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061975,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924061989,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062003,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062017,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062030,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062044,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062058,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062072,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062086,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062100,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062114,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062127,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062142,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062155,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062169,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062183,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062197,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062211,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062224,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062239,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062252,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062266,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062280,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062295,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062309,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062322,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062336,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062351,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062364,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062379,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062392,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062406,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062421,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062434,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062448,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062462,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062476,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062489,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062504,none,none,
1712924062517,none,none,
1712924062532,none,none,
1712924062546,none,none,
1712924062559,none,none,
1712924062573,none,none,
1712924062588,none,none,
1712924062603,none,none,
1712924062616,none,none,
1712924062629,none,none,
1712924062643,none,none,
1712924062657,none,none,
1712924062671,none,none,
1712924062686,none,none,
1712924062699,none,none,
1712924062712,none,none,
1712924062727,none,none,
1712924062741,none,none,
1712924062755,none,none,
1712924062769,none,none,
1712924062782,none,none,
1712924062796,none,none,
1712924062810,none,none,
1712924062824,none,none,
1712924062838,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062852,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062867,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062880,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062894,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062908,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062922,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062936,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062950,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062964,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062978,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924062991,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924063006,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924063020,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924063034,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924063048,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924063062,none,none,
1712924063075,none,none,
1712924063090,none,none,
1712924063104,none,none,
1712924063117,none,none,
1712924063133,none,none,
1712924063146,none,none,
1712924063159,none,none,
1712924063174,none,none,
1712924063187,none,none,
1712924063201,none,none,
1712924063215,none,none,
1712924063229,none,none,
1712924063243,none,none,
1712924063257,none,none,
1712924063271,none,none,
1712924063285,none,none,
1712924063299,none,none,
1712924063313,none,none,
1712924063326,none,none,
1712924063340,none,none,
1712924063355,none,none,
1712924063369,none,none,
1712924063383,none,none,
1712924063396,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924063411,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924063425,none,none,
1712924063438,none,none,
1712924063453,none,none,
1712924063466,none,none,
1712924063481,none,none,
1712924063494,none,none,
1712924063508,none,none,
1712924063522,none,none,
1712924063536,none,none,
1712924063550,none,none,
1712924063564,none,none,
1712924063578,none,none,
1712924063592,none,none,
1712924063606,none,none,
1712924063619,none,none,
1712924063633,none,none,
1712924063647,none,none,
1712924063661,none,none,
1712924063676,none,none,
1712924063689,none,none,
1712924063703,none,none,
1712924063718,none,none,
1712924063731,none,none,
1712924063746,none,none,
1712924063758,none,none,
1712924063773,none,none,
1712924063787,none,none,
1712924063801,none,none,
1712924063815,none,none,
1712924063829,none,none,
1712924063843,none,none,
1712924063857,none,none,
1712924063894,none,none,
1712924063913,none,none,
1712924063927,none,none,
1712924063940,none,none,
1712924063955,none,none,
1712924063969,none,none,
1712924064013,none,none,
