TimeStamp,Event,Interaction
1714731804149,none,none,
1714731805211,none,none,
1714731810193,YESButton,none,
1714731810201,YESButton,none,
1714731810208,YESButton,none,
1714731810214,YESButton,none,
1714731810221,YESButton,none,
1714731810226,YESButton,none,
1714731810237,YESButton,none,
1714731810244,YESButton,none,
1714731810250,YESButton,none,
1714731810256,YESButton,none,
1714731810262,YESButton,none,
1714731810267,YESButton,none,
1714731810272,YESButton,none,
1714731810279,YESButton,none,
1714731810283,YESButton,none,
1714731810288,YESButton,none,
1714731810297,YESButton,none,
1714731817956,none,none,
1714731817977,none,none,
1714731817989,none,none,
1714731817997,none,none,
1714731818003,none,none,
1714731818009,none,none,
1714731818015,none,none,
1714731818020,none,none,
1714731818025,none,none,
1714731818031,none,none,
1714731818036,none,none,
1714731818041,none,none,
1714731818046,none,none,
1714731818052,none,none,
1714731818058,none,none,
1714731818063,none,none,
1714731818068,none,none,
1714731818072,none,none,
1714731818077,none,none,
1714731818082,none,none,
1714731818088,none,none,
1714731818093,none,none,
1714731818098,none,none,
1714731818103,none,none,
1714731818107,none,none,
1714731818113,none,none,
1714731818117,none,none,
1714731818122,none,none,
1714731818128,none,none,
1714731818133,none,none,
1714731818139,none,none,
1714731818144,none,none,
1714731818149,none,none,
1714731818154,none,none,
1714731818159,none,none,
1714731818164,none,none,
1714731818169,none,none,
1714731818173,none,none,
1714731818178,none,none,
1714731818185,none,none,
1714731818189,none,none,
1714731818194,none,none,
1714731818199,none,none,
1714731818204,none,none,
1714731818208,none,none,
1714731818212,none,none,
1714731818217,none,none,
1714731818222,none,none,
1714731818227,none,none,
1714731818231,none,none,
1714731818236,none,none,
1714731818240,none,none,
1714731818246,none,none,
1714731818250,none,none,
1714731818256,none,none,
1714731818260,none,none,
1714731818265,none,none,
1714731818270,none,none,
1714731818274,none,none,
1714731818279,none,none,
1714731818282,none,none,
1714731818287,none,none,
1714731818293,none,none,
1714731818298,none,none,
1714731818301,none,none,
1714731818305,none,none,
1714731818309,none,none,
1714731818314,none,none,
1714731818318,none,none,
1714731818322,none,none,
1714731818327,none,none,
1714731818331,none,none,
1714731818335,none,none,
1714731818339,none,none,
1714731818343,none,none,
1714731818347,none,none,
1714731818351,none,none,
1714731818355,none,none,
1714731818359,none,none,
1714731818364,none,none,
1714731818367,none,none,
1714731818372,none,none,
1714731818376,none,none,
1714731818380,none,none,
1714731818387,none,none,
1714731818392,none,none,
1714731818397,none,none,
1714731818402,none,none,
1714731818406,none,none,
1714731818410,none,none,
1714731818415,none,none,
1714731818418,none,none,
1714731818424,none,none,
1714731818428,none,none,
1714731818432,none,none,
1714731818437,none,none,
1714731818441,none,none,
1714731818446,none,none,
1714731818450,none,none,
1714731818455,none,none,
1714731818459,none,none,
1714731818463,none,none,
1714731818466,none,none,
1714731818472,none,none,
1714731818476,none,none,
1714731818481,none,none,
1714731818485,none,none,
1714731818489,none,none,
1714731818494,none,none,
1714731818499,none,none,
1714731818503,none,none,
1714731818507,none,none,
1714731818511,none,none,
1714731818516,none,none,
1714731818521,none,none,
1714731818525,none,none,
1714731818529,none,none,
1714731818534,none,none,
1714731818538,none,none,
1714731818542,none,none,
1714731818547,none,none,
1714731818551,none,none,
1714731818556,none,none,
1714731818559,none,none,
1714731818564,none,none,
1714731818569,none,none,
1714731818572,none,none,
1714731818578,none,none,
1714731818582,none,none,
1714731818588,none,none,
1714731818593,none,none,
1714731818598,none,none,
1714731818602,none,none,
1714731818607,none,none,
1714731818610,none,none,
1714731818615,none,none,
1714731818619,none,none,
1714731818623,none,none,
1714731818627,none,none,
1714731818631,none,none,
1714731818636,none,none,
1714731818640,none,none,
1714731818644,none,none,
1714731818650,none,none,
1714731818655,none,none,
1714731818659,none,none,
1714731818664,none,none,
1714731818668,none,none,
1714731818672,none,none,
1714731818677,none,none,
1714731818681,none,none,
1714731818685,none,none,
1714731818689,none,none,
1714731818693,none,none,
1714731818698,none,none,
1714731818702,none,none,
1714731818706,none,none,
1714731818710,none,none,
1714731818714,none,none,
1714731818719,none,none,
1714731818723,none,none,
1714731818727,none,none,
1714731818731,none,none,
1714731818736,none,none,
1714731818740,none,none,
1714731818744,none,none,
1714731818748,none,none,
1714731818753,none,none,
1714731818757,none,none,
1714731818760,none,none,
1714731818765,none,none,
1714731818770,none,none,
1714731818774,none,none,
1714731818777,none,none,
1714731818783,none,none,
1714731818787,none,none,
1714731818793,none,none,
1714731818798,none,none,
1714731818802,none,none,
1714731818806,none,none,
1714731818810,none,none,
1714731818815,none,none,
1714731818820,none,none,
1714731818825,none,none,
1714731818828,none,none,
1714731818834,none,none,
1714731818838,none,none,
1714731818842,none,none,
1714731818847,none,none,
1714731818851,none,none,
1714731818856,none,none,
1714731818859,none,none,
1714731818864,none,none,
1714731818868,none,none,
1714731818871,none,none,
1714731818876,none,none,
1714731818880,none,none,
1714731818885,none,none,
1714731818889,none,none,
1714731818892,none,none,
1714731818897,none,none,
1714731818901,none,none,
1714731818905,none,none,
1714731818909,none,none,
1714731818915,none,none,
1714731818920,none,none,
1714731818925,none,none,
1714731818929,none,none,
1714731818933,none,none,
1714731818936,none,none,
1714731818940,none,none,
1714731818945,none,none,
1714731818954,none,none,
1714731835306,YESButton,none,
1714731835311,YESButton,none,
1714731835315,YESButton,none,
1714731835319,YESButton,none,
1714731835324,YESButton,none,
1714731835329,YESButton,none,
1714731835334,YESButton,none,
1714731835339,YESButton,none,
1714731835344,YESButton,none,
1714731835348,YESButton,none,
1714731835353,YESButton,none,
1714731835357,YESButton,none,
1714731835363,YESButton,none,
1714731835367,YESButton,none,
1714731835373,YESButton,none,
1714731835377,YESButton,none,
1714731835382,YESButton,none,
1714731835386,YESButton,none,
1714731835392,YESButton,none,
1714731835397,YESButton,none,
1714731835402,YESButton,none,
1714731835407,YESButton,none,
1714731835415,YESButton,none,
1714731835420,YESButton,none,
1714731835427,YESButton,none,
1714731835432,YESButton,none,
1714731835437,YESButton,none,
1714731835442,YESButton,none,
1714731835447,YESButton,none,
1714731835452,YESButton,none,
1714731835458,YESButton,none,
1714731835464,YESButton,none,
1714731835468,YESButton,none,
1714731835474,YESButton,none,
1714731835479,YESButton,none,
1714731835484,YESButton,none,
1714731835488,YESButton,none,
1714731835494,YESButton,none,
1714731835498,YESButton,none,
1714731835505,YESButton,none,
1714731842662,none,none,
1714731842677,none,none,
1714731842687,none,none,
1714731842693,none,none,
1714731842698,none,none,
1714731842703,none,none,
1714731842708,none,none,
1714731842713,none,none,
1714731842717,none,none,
1714731842723,none,none,
1714731842727,none,none,
1714731842731,none,none,
1714731842735,none,none,
1714731842740,none,none,
1714731842744,none,none,
1714731842748,none,none,
1714731842753,none,none,
1714731842757,none,none,
1714731842762,none,none,
1714731842766,none,none,
1714731842771,none,none,
1714731842776,none,none,
1714731842780,none,none,
1714731842784,none,none,
1714731842789,none,none,
1714731842795,none,none,
1714731842798,none,none,
1714731842803,none,none,
1714731842808,none,none,
1714731842812,none,none,
1714731842817,none,none,
1714731842821,none,none,
1714731842825,none,none,
1714731842829,none,none,
1714731842834,none,none,
1714731842839,none,none,
1714731842842,none,none,
1714731842847,none,none,
1714731842851,none,none,
1714731842856,none,none,
1714731842860,none,none,
1714731842865,none,none,
1714731842868,none,none,
1714731842873,none,none,
1714731842877,none,none,
1714731842882,none,none,
1714731842888,none,none,
1714731842891,none,none,
1714731842896,none,none,
1714731842900,none,none,
1714731842905,none,none,
1714731842909,none,none,
1714731842914,none,none,
1714731842919,none,none,
1714731842924,none,none,
1714731842928,none,none,
1714731842932,none,none,
1714731842937,none,none,
1714731842943,none,none,
1714731842947,none,none,
1714731842952,none,none,
1714731842958,none,none,
1714731842962,none,none,
1714731842967,none,none,
1714731842971,none,none,
1714731842976,none,none,
1714731842982,none,none,
1714731842987,none,none,
1714731842991,none,none,
1714731842997,none,none,
1714731843001,none,none,
1714731843006,none,none,
1714731843011,none,none,
1714731843017,none,none,
1714731843021,none,none,
1714731843026,none,none,
1714731843031,none,none,
1714731843038,none,none,
1714731843043,none,none,
1714731843048,none,none,
1714731843052,none,none,
1714731843058,none,none,
1714731843063,none,none,
1714731843067,none,none,
1714731843072,none,none,
1714731843077,none,none,
1714731843081,none,none,
1714731843087,none,none,
1714731843094,none,none,
1714731843108,none,none,
1714731850747,none,none,
1714731850754,none,none,
1714731850760,none,none,
1714731850766,none,none,
1714731850772,none,none,
1714731850776,none,none,
1714731850781,none,none,
1714731850786,none,none,
1714731850792,none,none,
1714731850796,none,none,
1714731850802,none,none,
1714731850807,none,none,
1714731850812,none,none,
1714731850817,none,none,
1714731850822,none,none,
1714731850830,none,none,
1714731850834,none,none,
1714731850839,none,none,
1714731850844,none,none,
1714731850849,none,none,
1714731850853,none,none,
1714731850859,none,none,
1714731850864,none,none,
1714731850868,none,none,
1714731850873,none,none,
1714731850878,none,none,
1714731850882,none,none,
1714731850887,none,none,
1714731850891,none,none,
1714731850899,none,none,
