TimeStamp,Event,Interaction
1712924974535,none,none,
1712924975671,none,none,
1712924975706,none,none,
1712924975710,none,none,
1712924975723,none,none,
1712924975737,none,none,
1712924975750,none,none,
1712924975765,none,none,
1712924975777,none,none,
1712924975792,none,none,
1712924975806,none,none,
1712924975820,none,none,
1712924975833,none,none,
1712924975847,none,none,
1712924975862,none,none,
1712924975874,none,none,
1712924975888,none,none,
1712924975903,none,none,
1712924975918,none,none,
1712924975930,none,none,
1712924975945,none,none,
1712924975959,none,none,
1712924975972,none,none,
1712924975985,none,none,
1712924976000,none,none,
1712924976043,none,none,
1712924976057,none,none,
1712924976070,none,none,
1712924976085,none,none,
1712924976098,none,none,
1712924976112,none,none,
1712924976125,none,none,
1712924976140,none,none,
1712924976154,none,none,
1712924976167,none,none,
1712924976181,none,none,
1712924976196,none,none,
1712924976210,none,none,
1712924976223,none,none,
1712924976237,none,none,
1712924976250,none,none,
1712924976266,none,none,
1712924976279,none,none,
1712924976292,none,none,
1712924976307,none,none,
1712924976321,none,none,
1712924976335,none,none,
1712924976348,none,none,
1712924976363,none,none,
1712924976376,none,none,
1712924976391,none,none,
1712924976404,none,none,
1712924976464,none,Plane,
1712924976502,none,Plane,
1712924976537,none,Plane,
1712924976550,none,Plane,
1712924976564,none,Plane,
1712924976577,none,Plane,
1712924976592,none,Plane,
1712924976605,none,Plane,
1712924976620,none,Plane,
1712924976634,none,Plane,
1712924976647,none,Plane,
1712924976663,none,Plane,
1712924976676,none,Plane,
1712924976690,none,Plane,
1712924976704,none,Plane,
1712924976718,none,Plane,
1712924976731,none,Plane,
1712924976746,none,Plane,
1712924976759,none,Plane,
1712924976773,none,Plane,
1712924976787,none,Plane,
1712924976801,none,Plane,
1712924976815,none,Plane,
1712924976828,none,Plane,
1712924976843,none,Plane,
1712924976857,none,Plane,
1712924976870,none,Plane,
1712924976884,none,Plane,
1712924976898,none,Plane,
1712924976912,none,Plane,
1712924976926,none,Plane,
1712924976940,none,Plane,
1712924976954,none,Plane,
1712924976967,none,Plane,
1712924976982,none,Plane,
1712924976996,none,Plane,
1712924977010,none,Plane,
1712924977023,none,Plane,
1712924977037,none,Plane,
1712924977052,none,Plane,
1712924977065,none,Plane,
1712924977079,none,Plane,
1712924977094,none,Plane,
1712924977107,none,Plane,
1712924977121,none,Plane,
1712924977135,none,Plane,
1712924977149,none,Plane,
1712924977163,none,Plane,
1712924977177,none,Plane,
1712924977190,none,Plane,
1712924977204,none,Plane,
1712924977218,none,Plane,
1712924977233,none,Plane,
1712924977246,none,Plane,
1712924977261,none,Plane,
1712924977275,none,Plane,
1712924977288,none,Plane,
1712924977302,none,Plane,
1712924977316,none,Plane,
1712924977330,none,Plane,
1712924977344,none,Plane,
1712924977359,none,Plane,
1712924977372,none,Plane,
1712924977386,none,Plane,
1712924977400,none,Plane,
1712924977415,none,Plane,
1712924977427,none,Plane,
1712924977441,none,Plane,
1712924977456,none,Plane,
1712924977470,none,Plane,
1712924977484,none,Plane,
1712924977498,none,Plane,
1712924977512,none,Plane,
1712924977526,none,Plane,
1712924977540,none,Plane,
1712924977554,none,Plane,
1712924977567,none,Plane,
1712924977581,none,Plane,
1712924977595,none,Plane,
1712924977609,none,Plane,
1712924977623,none,Plane,
1712924977637,none,Plane,
1712924977651,none,Plane,
1712924977665,none,Plane,
1712924977679,none,Plane,
1712924977693,none,Plane,
1712924977707,none,Plane,
1712924977721,none,Plane,
1712924977735,none,Plane,
1712924977749,none,Plane,
1712924977762,none,Plane,
1712924977777,none,Plane,
1712924977791,none,Plane,
1712924977805,none,Plane,
1712924977819,none,Plane,
1712924977832,none,Plane,
1712924977845,none,Plane,
1712924977860,none,Plane,
1712924977875,none,Plane,
1712924977888,none,Plane,
1712924977901,none,Plane,
1712924977916,none,Plane,
1712924977930,none,Plane,
1712924977944,none,Plane,
1712924977958,none,Plane,
1712924977972,none,Plane,
1712924977986,none,Plane,
1712924978000,none,Plane,
1712924978014,none,Plane,
1712924978027,none,Plane,
1712924978041,none,Plane,
1712924978056,none,Plane,
1712924978069,none,Plane,
1712924978083,none,Plane,
1712924978097,none,Plane,
1712924978110,none,Plane,
1712924978125,none,Plane,
1712924978139,none,Plane,
1712924978153,none,Plane,
1712924978166,none,Plane,
1712924978180,none,Plane,
1712924978195,none,Plane,
1712924978208,none,Plane,
1712924978223,none,Plane,
1712924978237,none,Plane,
1712924978250,none,Plane,
1712924978264,none,Plane,
1712924978278,none,Plane,
1712924978292,none,Plane,
1712924978306,none,Plane,
1712924978320,none,Plane,
1712924978334,none,Plane,
1712924978347,none,Plane,
1712924978362,none,Plane,
1712924978375,none,Plane,
1712924978390,none,Plane,
1712924978404,none,Plane,
1712924978417,none,Plane,
1712924978431,none,Plane,
1712924978446,none,Plane,
1712924978459,none,Plane,
1712924978473,none,Plane,
1712924978488,none,Plane,
1712924978500,none,Plane,
1712924978515,none,Plane,
1712924978529,none,Plane,
1712924978542,none,Plane,
1712924978557,none,Plane,
1712924978571,none,Plane,
1712924978585,none,Plane,
1712924978599,none,Plane,
1712924978612,none,Plane,
1712924978627,none,Plane,
1712924978641,none,Plane,
1712924978654,none,Plane,
1712924978669,none,Plane,
1712924978682,none,Plane,
1712924978696,none,Plane,
1712924978710,none,Plane,
1712924978724,none,Plane,
1712924978738,none,Plane,
