TimeStamp,Event,Interaction
1712924054220,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054235,none,none,
1712924054249,none,none,
1712924054263,none,none,
1712924054277,none,none,
1712924054291,none,none,
1712924054304,none,none,
1712924054318,none,none,
1712924054332,none,none,
1712924054346,none,none,
1712924054361,none,none,
1712924054374,none,none,
1712924054388,none,none,
1712924054401,none,none,
1712924054417,none,none,
1712924054430,none,none,
1712924054443,none,none,
1712924054457,none,none,
1712924054472,none,none,
1712924054485,none,none,
1712924054499,none,none,
1712924054513,none,none,
1712924054527,none,none,
1712924054541,none,none,
1712924054555,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054569,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054583,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054597,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054610,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054625,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054639,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054652,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054667,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054680,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054695,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054708,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054722,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054736,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054750,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054764,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054778,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054792,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054805,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054819,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054834,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
1712924054847,none,XR Origin (XR Rig) (UnityEngine.CharacterController),
