TimeStamp,Event,Interaction
1712845795702,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796769,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796806,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796825,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796835,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796848,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796863,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796875,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796889,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796904,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796917,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796932,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796946,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796960,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796974,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845796987,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797001,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797015,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797029,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797042,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797056,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797071,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797085,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797096,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797112,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797128,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797141,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797153,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797168,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797182,<b>Selected:</b>


EventSystem (UnityEngine.XR.Interaction.Toolkit.UI.XRUIInputModule)
,none
1712845797197,<b>Selected:</b>


