TimeStamp,Event,Interaction
1712846041759,EventSystem,none
1712846041768,EventSystem,none
1712846041783,EventSystem,none
1712846041799,EventSystem,none
1712846041810,EventSystem,none
1712846041825,EventSystem,none
1712846041838,EventSystem,none
1712846041853,EventSystem,none
1712846041869,EventSystem,none
1712846041881,EventSystem,none
1712846041894,EventSystem,none
1712846041908,EventSystem,none
1712846041921,EventSystem,none
1712846041936,EventSystem,none
1712846041953,EventSystem,none
1712846041963,EventSystem,none
1712846041980,EventSystem,none
1712846041992,EventSystem,none
1712846042005,EventSystem,none
1712846042019,EventSystem,none
1712846042033,EventSystem,none
1712846042047,EventSystem,none
1712846042060,EventSystem,none
1712846042076,EventSystem,none
1712846042093,EventSystem,none
1712846042105,EventSystem,none
1712846042117,EventSystem,none
1712846042131,EventSystem,none
1712846042145,EventSystem,none
1712846042159,EventSystem,none
1712846042172,EventSystem,none
1712846042187,EventSystem,none
1712846042204,EventSystem,none
1712846042215,EventSystem,none
1712846042228,EventSystem,none
1712846042242,EventSystem,none
1712846042257,EventSystem,none
1712846042273,EventSystem,none
1712846042284,EventSystem,none
1712846042298,EventSystem,none
1712846042315,EventSystem,none
1712846042325,EventSystem,none
1712846042340,EventSystem,none
1712846042354,EventSystem,none
1712846042368,EventSystem,none
1712846042381,EventSystem,none
1712846042395,EventSystem,none
1712846042411,EventSystem,none
1712846042427,EventSystem,none
1712846042437,EventSystem,none
1712846042451,EventSystem,none
1712846042466,EventSystem,none
1712846042479,EventSystem,none
1712846042493,EventSystem,none
1712846042506,EventSystem,none
1712846042521,EventSystem,none
1712846042539,EventSystem,none
1712846042549,EventSystem,none
1712846042563,EventSystem,none
1712846042579,EventSystem,none
1712846042590,EventSystem,none
1712846042605,EventSystem,none
1712846042618,EventSystem,none
1712846042634,EventSystem,none
1712846042651,EventSystem,none
1712846042660,EventSystem,none
1712846042674,EventSystem,none
1712846042688,EventSystem,none
1712846042701,EventSystem,none
1712846042716,EventSystem,none
1712846042733,EventSystem,none
1712846042745,EventSystem,none
1712846042762,EventSystem,none
1712846042771,EventSystem,none
1712846042785,EventSystem,none
1712846042799,EventSystem,none
1712846042814,EventSystem,none
